URL,Codice di risposta,Errore di News,Rilevato,Categoria,Piattaforma,Ultima scansione
https://it.motor1.com/news/category/motor1-anouncements/,404,,16/07/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/fiat/124-spider/,404,,18/04/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/land-rover/discovery-4/,404,,20/04/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/tesla/motors-model-s/,404,,11/05/18,Non trovato,Desktop,09/09/18
https://it.motor1.com/photo/3247996/mercedes-gle-class-side-by-side/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/photo/3247995/2019-mercedes-benz-gle-class/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/mercedes-benz/sls-amg/,404,,18/04/18,Non trovato,Desktop,13/09/18
https://it.motor1.com/photo/3247990/mercedes-benz-gle-class/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/photo/3247991/mercedes-benz-gle-class/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/photo/3247992/mercedes-benz-gle-class/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/photo/3247989/mercedes-benz-gle-class/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/photo/3247993/mercedes-benz-gle-class/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/photo/3247994/2019-mercedes-benz-gle-class/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/photo/3247988/mercedes-benz-gle-class/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/mercedes-benz/mercedes-benz-e-63-amg-station-wagon/,404,,04/05/18,Non trovato,Desktop,15/09/18
https://it.motor1.com/photo/3022500/new-citroen-c5-aircross/,404,,06/06/18,Non trovato,Desktop,08/09/18
https://it.motor1.com/toyota/avensis/,404,,19/04/18,Non trovato,Desktop,06/09/18
https://it.motor1.com/mercedes-benz/mercedes-benz-slc-43-amg/,404,,05/05/18,Non trovato,Desktop,14/09/18
https://it.motor1.com/photo/3248293/land-rover-defender-works-v8/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/photo/3248290/land-rover-defender-works-v8/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/photo/3248289/land-rover-defender-works-v8/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/photo/3248291/land-rover-defender-works-v8/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/photo/3248292/land-rover-defender-works-v8/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/photo/3248288/land-rover-defender-works-v8/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/alfa-romeo/500l/,404,,23/08/18,Non trovato,Desktop,10/09/18
https://it.motor1.com/ferrari/ferrari-488-gtb/photos/,404,,05/05/18,Non trovato,Desktop,10/09/18
https://it.motor1.com/alfa-romeo/500/,404,,24/04/18,Non trovato,Desktop,09/09/18
https://it.motor1.com/infiniti/infiniti-qx50/news/,404,,14/07/18,Non trovato,Desktop,13/09/18
https://it.motor1.com/ds/ds-4-crossback/,404,,18/04/18,Non trovato,Desktop,13/09/18
https://it.motor1.com/photo/3248295/land-rover-defender-works-v8/,404,,12/09/18,Non trovato,Desktop,12/09/18
https://it.motor1.com/audi/freelander-2/,404,,23/08/18,Non trovato,Desktop,10/09/18
https://it.motor1.com/ferrari/ferrari-f12tdf/,404,,10/05/18,Non trovato,Desktop,10/09/18
